<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.23	1.33275	1.33385	1.32327	1.32522	115094	0	18
2025.04.24	1.32514	1.33485	1.32477	1.33361	67774	0	18
2025.04.25	1.33329	1.33396	1.32727	1.33070	63768	0	18
2025.04.28	1.33040	1.34427	1.32795	1.34409	64995	0	18
2025.04.29	1.34311	1.34424	1.33800	1.34062	59217	0	18
2025.04.30	1.33979	1.34140	1.33088	1.33298	69335	0	18
2025.05.01	1.33213	1.33452	1.32592	1.32758	61545	0	18
2025.05.02	1.32771	1.33293	1.32589	1.32691	80585	0	18
2025.05.05	1.32590	1.33351	1.32570	1.32948	63341	0	18
2025.05.06	1.32883	1.34024	1.32593	1.33669	66284	0	18
2025.05.07	1.33687	1.33762	1.32789	1.32886	79526	0	18
2025.05.08	1.32868	1.33545	1.32349	1.32446	83867	0	18
2025.05.09	1.32423	1.33222	1.32118	1.32993	56933	0	18
2025.05.12	1.32615	1.32988	1.31381	1.31748	92081	0	18
2025.05.13	1.31675	1.33154	1.31635	1.33031	73115	0	18
2025.05.14	1.33038	1.33598	1.32522	1.32585	77802	0	18
2025.05.15	1.32604	1.33191	1.32531	1.33027	70013	0	18
2025.05.16	1.33003	1.33316	1.32492	1.32747	68122	0	18
2025.05.19	1.32677	1.34034	1.32676	1.33598	70807	0	18
2025.05.20	1.33583	1.33941	1.33338	1.33919	71724	0	18
2025.05.21	1.33865	1.34681	1.33770	1.34184	83673	0	18
2025.05.22	1.34143	1.34402	1.33892	1.34168	81095	0	18
2025.05.23	1.34149	1.35418	1.34082	1.35369	74894	0	18
2025.05.26	1.35224	1.35925	1.35204	1.35615	53142	0	18
2025.05.27	1.35600	1.35861	1.34991	1.35056	69998	0	18
2025.05.28	1.35027	1.35212	1.34494	1.34692	71902	0	18
2025.05.29	1.34661	1.35066	1.34143	1.34888	86663	0	18
2025.05.30	1.34860	1.35096	1.34469	1.34499	76195	0	18
2025.06.02	1.34594	1.35592	1.34504	1.35443	76655	0	18
2025.06.03	1.35396	1.35579	1.34913	1.35153	67347	0	18
2025.06.04	1.35139	1.35796	1.34995	1.35520	72049	0	18
2025.06.05	1.35554	1.36151	1.35398	1.35698	79835	0	18
2025.06.06	1.35676	1.35840	1.35066	1.35203	73626	0	18
2025.06.09	1.35281	1.35798	1.35216	1.35492	55377	0	18
2025.06.10	1.35458	1.35629	1.34562	1.34969	70587	0	18
2025.06.11	1.34982	1.35668	1.34634	1.35464	75421	0	18
2025.06.12	1.35433	1.36231	1.35224	1.36104	86497	0	18
2025.06.13	1.36093	1.36318	1.35151	1.35713	108832	0	18
2025.06.16	1.35532	1.36208	1.35337	1.35754	87501	0	18
2025.06.17	1.35771	1.35794	1.34141	1.34277	86395	0	18
2025.06.18	1.34236	1.34749	1.33993	1.34195	93463	0	18
2025.06.19	1.34228	1.34692	1.33815	1.34669	74231	0	18
2025.06.20	1.34676	1.35104	1.34397	1.34480	78748	0	18
2025.06.23	1.34005	1.35297	1.33690	1.35219	97307	0	18
2025.06.24	1.35192	1.36480	1.35097	1.36127	87192	0	18
2025.06.25	1.36144	1.36712	1.35892	1.36619	68310	0	18
2025.06.26	1.36592	1.37696	1.36515	1.37264	91008	0	18
2025.06.27	1.37251	1.37519	1.36820	1.37109	81277	0	18
2025.06.30	1.37023	1.37403	1.36728	1.37328	77965	0	18
2025.07.01	1.37283	1.37883	1.37022	1.37449	77345	0	18
2025.07.02	1.37378	1.37520	1.35612	1.36332	76797	0	18
2025.07.03	1.36321	1.36752	1.35855	1.36529	75618	0	18
2025.07.04	1.36516	1.36811	1.36337	1.36431	81618	0	18
2025.07.07	1.36459	1.36588	1.35738	1.35995	74434	0	18
2025.07.08	1.35987	1.36459	1.35242	1.35912	80316	0	18
2025.07.09	1.35626	1.36191	1.35626	1.35841	61778	0	18
2025.07.10	1.35819	1.36192	1.35316	1.35787	59311	0	18
2025.07.11	1.35766	1.35844	1.34806	1.34892	79977	0	18
2025.07.14	1.34890	1.35033	1.34234	1.34256	66714	0	18
2025.07.15	1.34245	1.34657	1.33777	1.33834	72652	0	18
2025.07.16	1.33822	1.34857	1.33638	1.34188	96721	0	18
2025.07.17	1.34153	1.34245	1.33732	1.34163	67419	0	18
2025.07.18	1.34087	1.34747	1.34002	1.34062	60105	0	18
2025.07.21	1.34212	1.35095	1.34011	1.34904	64787	0	18
2025.07.22	1.34877	1.35327	1.34606	1.35322	63168	0	18
2025.07.23	1.35275	1.35830	1.35139	1.35781	76853	0	18
2025.07.24	1.35729	1.35873	1.35015	1.35073	80035	0	18
2025.07.25	1.35091	1.35111	1.34151	1.34386	76612	0	18
2025.07.28	1.34286	1.34515	1.33500	1.33534	82475	0	18
2025.07.29	1.33542	1.33630	1.33069	1.33490	83683	0	18
2025.07.30	1.33446	1.33847	1.32271	1.32359	97815	0	18
2025.07.31	1.32313	1.32811	1.31843	1.32037	88332	0	18
2025.08.01	1.32066	1.33101	1.31403	1.32757	111956	0	18
2025.08.04	1.32849	1.33296	1.32527	1.32827	83816	0	18
2025.08.05	1.32861	1.33154	1.32586	1.32985	83485	0	18
2025.08.06	1.32955	1.33676	1.32805	1.33560	71669	0	19
2025.08.07	1.33518	1.34471	1.33448	1.34420	84433	0	19
2025.08.08	1.34401	1.34580	1.34166	1.34490	68776	0	19
2025.08.11	1.34491	1.34765	1.33983	1.34304	54568	0	19
2025.08.12	1.34241	1.35231	1.34193	1.34987	85982	0	19
2025.08.13	1.34989	1.35844	1.34919	1.35761	61290	0	19
2025.08.14	1.35688	1.35942	1.35196	1.35286	79026	0	19
2025.08.15	1.35278	1.35738	1.35228	1.35487	60828	0	19
