<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	1.03504	1.03743	1.02230	1.02655	72988	0	8
2025.01.03	1.02555	1.03084	1.02491	1.03069	56772	0	8
2025.01.06	1.03005	1.04358	1.02947	1.03881	93167	0	8
2025.01.07	1.03793	1.04331	1.03381	1.03384	69696	0	8
2025.01.08	1.03389	1.03567	1.02726	1.03177	70546	0	8
2025.01.09	1.03128	1.03204	1.02831	1.02979	47682	0	8
2025.01.10	1.03003	1.03106	1.02127	1.02429	73974	0	8
2025.01.13	1.02354	1.02485	1.01764	1.02408	70443	0	8
2025.01.14	1.02400	1.03074	1.02372	1.03064	77144	0	8
2025.01.15	1.03035	1.03530	1.02583	1.02884	67014	0	8
2025.01.16	1.02850	1.03142	1.02603	1.03008	68744	0	8
2025.01.17	1.02932	1.03292	1.02646	1.02690	63129	0	8
2025.01.20	1.02793	1.04335	1.02658	1.04157	78195	0	8
2025.01.21	1.04123	1.04342	1.03409	1.04245	86852	0	8
2025.01.22	1.04233	1.04561	1.03917	1.04087	66191	0	8
2025.01.23	1.04092	1.04375	1.03716	1.04138	67283	0	8
2025.01.24	1.04131	1.05210	1.04106	1.04930	75266	0	8
2025.01.27	1.04749	1.05319	1.04535	1.04901	82115	0	8
2025.01.28	1.04872	1.04920	1.04125	1.04294	73794	0	8
2025.01.29	1.04234	1.04425	1.03818	1.04183	76068	0	8
2025.01.30	1.04171	1.04664	1.03852	1.03906	77643	0	8
2025.01.31	1.03894	1.04326	1.03491	1.03585	93670	0	8
2025.02.03	1.02406	1.03482	1.02093	1.03412	138040	0	8
2025.02.04	1.03357	1.03871	1.02716	1.03782	82177	0	8
2025.02.05	1.03763	1.04422	1.03685	1.04011	72521	0	8
2025.02.06	1.03984	1.04048	1.03517	1.03819	63737	0	8
2025.02.07	1.03829	1.04116	1.03047	1.03265	86011	0	8
2025.02.10	1.02875	1.03353	1.02776	1.03054	53131	0	8
2025.02.11	1.03027	1.03799	1.02910	1.03597	52396	0	8
2025.02.12	1.03569	1.04286	1.03169	1.03818	76337	0	8
2025.02.13	1.03790	1.04656	1.03726	1.04640	87711	0	8
2025.02.14	1.04616	1.05129	1.04468	1.04898	70073	0	8
2025.02.17	1.04830	1.05051	1.04656	1.04816	43904	0	8
2025.02.18	1.04752	1.04850	1.04344	1.04439	57825	0	8
2025.02.19	1.04420	1.04611	1.04005	1.04204	61674	0	17
2025.02.20	1.04194	1.05030	1.04183	1.05002	67545	0	17
2025.02.21	1.04916	1.05045	1.04485	1.04573	70517	0	17
